"title","zip_code","address","station_type","station","area","contract","date","direction","floor","points","price","admin","maintainance","methods","dis","deposit","key","renewal"
"セレッソ長者町","602-8055","京都府京都市上京区大黒屋町","京都市営烏丸線","丸太町",27.7,2,"2017年11月","東
",3,"浴室乾燥機
ゆとりの居室8帖以上
スーパー・コンビニ・病院徒歩圏内
",6.5,5000,NA,"徒歩",15,6.5,13,2
"グランドアベニュー","602-8442","京都府京都市上京区薬師町","京都市営烏丸線","今出川",24,2,"1995年07月","南
",3,"家賃リーズナブル
ネット無料
収納スペース豊富
",4.8,5000,NA,"徒歩",15,0,4.8,0
"グリーンヒル紫明","603-8149","京都府京都市北区小山南上総町14-1","京都市営烏丸線","鞍馬口",21.6,2,"1998年04月","南
",4,"全室南向き
敷金なし
コンビニ徒歩4分
",5.4,5000,NA,"徒歩",7,0,5.4,5.4
"シルクシティ花・紫明","603-8148","京都府京都市北区小山西花池町","京都市営烏丸線","鞍馬口",27.8,2,"2011年01月","東、南
",5,"交通便利
広々居室
オートロック
",6.5,5000,NA,"徒歩",7,5,6.5,6.5
"サイトウビル","602-8448","京都府京都市上京区元北小路町","京都市営烏丸線","今出川",16.5,2,"1986年03月","北、東
",9,"エレベーター
女子専用のコインランドリー
オール電化
",3.2,5000,NA,"徒歩",15,0,0,1.1
"VIOLA IWASA(ヴィオライワサ)","603-8149","京都府京都市北区小山南上総町70番地","京都市営烏丸線","鞍馬口",27.2,2,"2014年02月","南
",3,"セキュリティ充実
お部屋広々10帖
ネット無料
",6.7,4000,NA,"徒歩",6,6.7,13.4,0
"ヴィラ中立売","602-8237","京都府京都市上京区梨木町","京都市営烏丸線","今出川",22.2,2,"1996年03月","北、東
",6,"バス停徒歩4分
全室角部屋
家賃リーズナブル
",4.2,3000,NA,"徒歩",19,0,0,0
"コーポ町柳","606-8205","京都府京都市左京区田中上柳町10","京阪本線","出町柳",17.8,2,"1983年02月","南
",3,"南向き
駅近
生活便利
",3.4,5300,NA,"徒歩",5,0,0,3.4
"下鴨女子学生会館　テラッセ糺ノ森","606-0804","京都府京都市左京区下鴨松原町42-7","京都市営バス","糺ノ森",19.8,2,"1982年11月","南、東
",3,"水道料無料
セパレートあり
バス停徒歩1分
",4,5000,NA,"徒歩",1,5,5,4
"プティメゾン西陣","602-8407","京都府京都市上京区伊佐町239","京都市営烏丸線","今出川",15,2,"1980年08月","北
",3,"コインランドリー
礼金・敷金なし
",2.5,4000,NA,"徒歩",17,0,0,0
"グリーンヒル小山","603-8148","京都府京都市北区小山西花池町5-8","京都市営烏丸線","北大路",25,1,"2009年03月","東、南
",4,"ゆとりの居室
独立洗面化粧台
宅配BOX
",6.3,2500,NA,"徒歩",7,0,6.3,6.3
"KIマンション","603-8149","京都府京都市北区小山南上総町56-2","京都市営烏丸線","北大路",17,1,"1984年11月","北
",4,"駅近便利
ショッピングセンター徒歩圏内
洗濯機置場
",3.2,4000,2000,"徒歩",6,5,5,0
"A.t.s堀川","603-8158","京都府京都市北区紫野宮西町14番地4","京都市営バス","堀川鞍馬口",21.4,2,"2001年03月","東
",7,"セキュリティ充実
独立洗面化粧台
生活便利
",5.3,5000,NA,"徒歩",1,7,7,5.3
"ダイヤモンドパレス堀川","602-8056","京都府京都市上京区三町目13番地","京都市営烏丸線","丸太町",21.1,1,"1986年01月","西
",6,"堀川商店街すぐ徒歩圏内
コインランドリー
乾燥機もあり
",3.35,6000,NA,"徒歩",15,9,NA,3
"寺川ビル","603-8149","京都府京都市北区小山南上総町56番地","京都市営烏丸線","北大路",15,1,"2011年07月","東
",4,"駅徒歩圏内
生活便利
オシャレな居室
",4.35,5000,NA,"徒歩",3,0,5,1.1
"ヒューマンハイツ","602-8259","京都府京都市上京区常陸町432-23","京都市営烏丸線","今出川",22.8,2,"1990年04月","東
",4,"ネット無料
オートロック
セパレート
",4.5,3000,NA,"自転車",7,0,4.5,0
"フラッティ智恵光院","602-8446","京都府京都市上京区五辻町","京都市営バス","今出川浄福寺",22.6,2,"2017年02月","南
",4,"大型バイク駐車可！！
浴室乾燥機付き
インターネット無料
",6.1,6000,NA,"徒歩",3,0,12.2,6.1
"Luxe智恵光院","602-8408","京都府京都市上京区古美濃部町178-2","京都市営烏丸線","今出川",21.3,2,"2007年05月","西
",5,"ネット無料
温水洗浄便座
コンビニ徒歩3分
",5.5,6000,NA,"徒歩",19,5,5,5.5
"Y's　Ｆlats 西陣","602-8444","京都府京都市上京区西北小路町235","京都市営烏丸線","今出川",29.4,2,"2008年03月","南
",10,"原付き：500円／月・中・大型バイク：3千円／月
台所・洗面所・ユニットバスはＬＥＤ照明備付き
南向き
",6.2,6000,NA,"徒歩",17,6.2,9.3,6.2
"グランコスモ出町柳","606-8203","京都府京都市左京区田中関田町","京阪本線","出町柳",25,1,"2003年03月","南、北
",6,"コンビニ徒歩3分
交通便利
設備充実
",6.5,2500,NA,"徒歩",3,8,13,6.5
"プチシャトー１９","602-0091","京都府京都市上京区筋違橋町５６４－１","京都市営烏丸線","鞍馬口",26.6,2,"1989年10月","西
",4,"コンビニ徒歩1分
スーパー徒歩6分
2口コンロ持込可
",5.2,5000,NA,"徒歩",15,7,5.2,5.2
"賀茂女子学生会館","606-8203","京都府京都市左京区田中関田町","京阪本線","出町柳",19,1,"1984年03月","東
",5,"セキュリティ充実
女子専用
駅徒歩3分
",4.5,6000,NA,"徒歩",3,4.5,5,4.5
"プチロワイヤル","602-8113","京都府京都市上京区元福大明神町309","京都市営バス","堀川下立売",22,2,"1994年09月","西、東
",4,"商店街徒歩1分
スーパー徒歩5分
バス停徒歩1分
",3.95,NA,6000,"徒歩",1,2,NA,6
"生駒ハイツ","602-8481","京都府京都市上京区聖天町","京都市営烏丸線","今出川",15,1,"1981年03月","南
",4,"水道料・ネット代は共益費込
学生専用
コインランドリー無料
",3.1,5500,NA,"徒歩",19,5,5,0
"マーク西陣","602-8452","京都府京都市上京区元中之町493","京都市営烏丸線","今出川",17.2,2,"1988年01月","東
",4,"スーパー･コンビニ徒歩圏内
地下鉄今出川徒歩17分
鉄筋コンクリート造
",3.6,4000,NA,"徒歩",18,3.6,3.6,0
"ウエストポイント堀","602-8405","京都府京都市上京区大猪熊町51番地","京都市営バス",NA,NA,NA,NA,NA,NA,"セキュリティ充実
全室角部屋
中型・大型バイク駐輪無料
",5.5,5000,NA,NA,NA,0,5.5,NA
"第29長栄グランビュー下長者","602-8101","京都府京都市上京区東辰巳町","京都市営烏丸線","丸太町",20.1,2,"1991年04月","東
",5,"オートロック・エレベーター
ネット無料
お部屋は8.5帖と広々
",4.2,4000,NA,"自転車",8,0,4.2,4.2
"クラウンハイム京都北大路","603-8165","京都府京都市北区紫野西御所田町64","京都市営烏丸線","鞍馬口",25.4,2,"2002年02月","北西
",7,"地下鉄徒歩圏内
設備充実
きれいなお部屋
",5.6,5850,NA,"徒歩",14,5.6,5.6,0
"S-COURT","606-8205","京都府京都市左京区田中上柳町91","京阪本線","出町柳",31.7,4,"2017年09月","北西、南東
",4,"デザイナーズマンション
独立洗面化粧台
オートロック
",6.9,6000,NA,"徒歩",6,0,13.8,0
"サンカノン御所西","602-8038","京都府京都市上京区東魚屋町","京都市営烏丸線","丸太町",25,1,"2014年03月","南
",5,"地下鉄烏丸線「丸太町」駅徒歩圏内
京都第二赤十字病院すぐそば
京都府警まで徒歩圏内
",6.1,6000,NA,"徒歩",8,5,12,3.05
"グレース寿","602-8263","京都府京都市上京区須浜東町","京都市営烏丸線","今出川",17,2,"1996年08月","北、南
",4,"家賃リーズナブル
コンビニ・商店街徒歩圏内
生活便利
",3.4,4000,NA,"自転車",8,0,0,3.4
