"title","zip_code","address","station_type","station","area","contract","date","direction","floor","points","price","admin","maintainance","methods","dis","deposit","key","renewal"
"コーポリッチ","606-8184","京都府京都市左京区一乗寺払殿町50-1","叡山電鉄叡山本線","一乗寺",14,2,"1985年03月","北、西
",3,"水道料無料
スーパー･コンビニ徒歩圏内
生活便利
",2.9,4000,NA,"徒歩",1,2,0,2.9
"グランレブリー一乗寺","606-8117","京都府京都市左京区一乗寺里ノ前町31","叡山電鉄叡山本線","一乗寺",27.1,2,"2007年03月","東
",5,"独立洗面化粧台
ゆとりのキッチン
温水洗浄便座
",5,6000,NA,"徒歩",1,0,0,5
"タックハウス下鴨８","606-0824","京都府京都市左京区下鴨東半木町8-2","京都市営烏丸線","北山",20,2,"1994年03月","南
",2,"室内洗濯機置場
温水洗浄便座
駐輪場（自転車のみ）
",4.6,4000,NA,"徒歩",12,0,0,0
"マ・メゾン","606-8117","京都府京都市左京区一乗寺里ノ前町5","叡山電鉄叡山本線","一乗寺",23.1,2,"1990年03月","南
",4,"セパレート
エレベータあり
スーパー・コンビニ徒歩3分以内
",4.6,4000,NA,"徒歩",1,5,5,4.6
"GATO D.M北山","606-0833","京都府京都市左京区下鴨前萩町","京都市営烏丸線","北山",22.7,2,"2000年11月","南、北
",7,"ローソン徒歩1分
「北山」駅徒歩1分
独立洗面化粧台
",5.6,6000,NA,"徒歩",1,5.6,5.6,1
"ミル・メゾンＴ２","606-0942","京都府京都市左京区松ケ崎樋ノ上町","叡山電鉄叡山本線","修学院",25.2,2,"2009年10月","南
",2,"室内洗濯機置場
モニター付インターフォン
オートロック
",5.3,5000,NA,"徒歩",7,0,0,0
"ヴェール一乗寺","606-8117","京都府京都市左京区一乗寺里ノ前町32","叡山電鉄叡山本線","一乗寺",22.5,2,"1996年03月","北
",4,"スーパー・コンビニ徒歩2分以内
温水洗浄便座
ネット無料
",5,5000,NA,"徒歩",1,5,5,5
"プロスペクト下鴨","606-0826","京都府京都市左京区下鴨西本町","京都市営烏丸線","北山",21.6,2,"2006年03月","北
",6,"防犯カメラ
温水洗浄便座
防犯ディンプルキー
",4.7,6000,NA,"徒歩",14,4.7,0,0
"インベスト京都修学院","606-8004","京都府京都市左京区山端川端町5丁目","叡山電鉄叡山本線","修学院",25.5,2,"2008年01月","西
",5,"独立洗面化粧台
宅配BOX
エレベーター
",5.7,7000,NA,"徒歩",2,5.7,5.7,0
"リバーロードタカノ","606-8187","京都府京都市左京区一乗寺大原田町","京都市営バス","高野",21,2,"1985年03月","南
",7,"日当良好
水道料無料
コンビニ徒歩3分
",5,8000,NA,"徒歩",5,5,1.5,10
"Ａフラット高野","606-8231","京都府京都市左京区田中上古川町20","叡山電鉄叡山本線","茶山",23.2,2,"1997年08月","南
",3,"セキュリティ充実
日当良好
オートロック
",5.9,3000,NA,"徒歩",3,5,5,0
"ロフティ松ヶ崎","606-0941","京都府京都市左京区松ケ崎河原田町","叡山電鉄叡山本線","修学院",37,2,"1990年04月","南
",2,"商店街徒歩6分
日当良好
ロフト8.5帖
",5.6,5000,NA,"徒歩",7,8,0,0
"ヴィヴァーチェ北山","603-8053","京都府京都市北区上賀茂岩ケ垣内町","京都市営烏丸線","北山",24.1,2,"1999年09月","西
",3,"オートロック
セパレート
温水洗浄便座
",5.4,6000,2100,"徒歩",4,5,0,5.4
"明治館にしき","606-8103","京都府京都市左京区高野西開町","叡山電鉄叡山本線","元田中",18,2,"1985年04月","西
",4,"ショッピングモール徒歩4分
共用ランドリー無料
IHキッチン
",3.9,NA,NA,"徒歩",10,0,0,3.9
"フォレスト北山","603-8053","京都府京都市北区上賀茂岩ケ垣内町","京都市営烏丸線","北山",25.7,2,"1998年01月","東
",3,"独立洗面化粧台
室内洗濯機置場
日当良好
",5.7,5000,NA,"徒歩",2,5,10,5.7
"セゾンドアオイ","606-0816","京都府京都市左京区下鴨松ノ木町","京都市営烏丸線","北大路",18,2,"1988年03月","南
",4,"広々キッチン
スーパー徒歩圏内
収納あり
",3.6,5000,NA,"徒歩",19,0,0,3.6
"カーサⅤ","606-8006","京都府京都市左京区山端橋ノ本町","叡山電鉄叡山本線","修学院",25.9,2,"2006年03月","北西
",4,"浴室乾燥機
室内洗濯機置場
オートロック
",5.2,3000,NA,"徒歩",3,5.2,0,0
"サンクレスト","606-0826","京都府京都市左京区下鴨西本町","京都市営烏丸線","北大路",18.1,2,"1991年03月","西
",6,"ロフト付き
室内洗濯機置場
オートロック
",4.4,6000,NA,"徒歩",12,0,0,4.4
"ISEYAHOUSEⅡ","606-0827","京都府京都市左京区下鴨西半木町29-9","京都市営烏丸線","北山",26.4,2,"1999年12月","東
",2,"室内洗濯機置場
モニター付インターフォン
2口ガスコンロ持込可
",5.8,3000,NA,"徒歩",12,5.8,5.8,0
"リバーサイド高野","606-8103","京都府京都市左京区高野西開町","京都バス","蓼倉橋",20.8,2,"1996年03月","東
",4,"コンビニ徒歩2分
ガスキッチン
「蓼倉橋」停徒歩2分
",4.9,7500,NA,"徒歩",2,7,10,0
"ハーバルガーデン","606-8005","京都府京都市左京区山端川岸町３０-２","叡山電鉄叡山本線","修学院",19,2,"1995年03月","西
",4,"バス・トイレ別
室内洗濯機置場
駐輪場（原付き可）
",4.4,4000,2000,"徒歩",4,8,0,0
"サンシティ共立","606-8172","京都府京都市左京区一乗寺河原田町","叡山電鉄叡山本線","茶山",21,2,"1985年05月","南
",4,"コンビニ徒歩4分
室内洗濯機置場
ドラッグストア3分
",3.8,5000,2000,"徒歩",5,5,0,4
"ティーズ・カサ北白川","606-8125","京都府京都市左京区一乗寺清水町","叡山電鉄叡山本線","修学院",25.4,2,"2007年09月","東
",6,"オートロック
インターネット無料
宅配BOX
",5.8,7000,NA,"徒歩",7,0,5.8,0
"ｓｔａｂｌｅ北山","603-8051","京都府京都市北区上賀茂榊田町","京都市営烏丸線","北山",22.7,2,"1999年11月","南、東
",3,"コンビニ徒歩1分
コンビニ徒歩圏内
日当良好
",5.4,5000,NA,"徒歩",5,0,0,0
"セントポール修学院","606-8081","京都府京都市左京区修学院大林町","叡山電鉄叡山本線","修学院",22,2,"1996年03月","西
",7,"オートロック
セパレート
モニター付インターフォン
",4.7,5000,NA,"徒歩",5,0,0,0
"セブンハイム","606-8116","京都府京都市左京区一乗寺宮ノ東町","叡山電鉄叡山本線","一乗寺",20,2,"1995年04月","南
",5,"コンビニ徒歩2分
ドラッグストア徒歩2分
IHキッチン
",4.2,6000,2000,"徒歩",5,0,0,4.2
"メゾンジョアPART1","606-0933","京都府京都市左京区松ケ崎西山","京都市営烏丸線","北山",17.7,2,"1986年01月","東
",3,"光ネット無料
オートロック
室内洗濯機置場
",2.9,5000,2000,"徒歩",13,2,0,0
"ハウスセゾン茶山","606-8232","京都府京都市左京区田中古川町30","京都市営バス","田中大久保町",24.8,2,"2003年04月","南、北
",6,"オートロック
大型スーパー徒歩8分
ゴミ毎日回収
",5.5,6000,NA,"徒歩",4,8,5,5.5
"コーポ山善","603-8051","京都府京都市北区上賀茂榊田町","京都市営烏丸線","北山",17.8,2,"1971年01月","西
",3,"2口ガスコンロ持込可
フローリング
駐輪場あり（原付きまで）
",3.7,6000,NA,"徒歩",7,0,0,0
"三宅ビル","606-0827","京都府京都市左京区下鴨西半木町３","京都市営烏丸線","北大路",22.6,2,"1997年03月","南
",6,"セパレート
オートロック
フローリング
",5.5,4000,2000,"徒歩",7,5,10,5.5
"フラッティ京大北","606-8232","京都府京都市左京区田中古川町34-2","京都市営バス","田中大久保町",22.3,2,"2010年06月","南、北
",4,"グリル付きガスキッチン2口
独立洗面化粧台
「茶山」駅徒歩2分
",5.6,6000,2000,"徒歩",4,0,10,5.6
"メゾンK-three","606-8232","京都府京都市左京区田中古川町","京都市営バス","田中大久保町",25.4,2,"2003年04月","南、東
",4,"オートロック
コンビニ徒歩4分
ゴミ毎日回収
",5.5,6000,2500,"徒歩",4,5.5,5.5,5.5
"メゾン・ラ・ココネ","606-8171","京都府京都市左京区一乗寺西水干町","叡山電鉄叡山本線","茶山",19.8,2,"1988年03月","東
",3,"水道料は共益費込
コンビニ徒歩2分
室内洗濯機置場
",3.5,3000,NA,"徒歩",3,5,0,0
"ハイツテル","606-8084","京都府京都市左京区修学院薬師堂町","叡山電鉄叡山本線","修学院",18,2,"1984年11月","西
",2,"エアコン
駐輪場
仕切り扉
",3.2,3000,NA,"徒歩",5,3.2,0,0
"エンゼルプラザ京都","606-8102","京都府京都市左京区高野清水町","京都市営バス","叡電元田中",27.1,2,"2005年03月","南西、北西、南東
",7,"独立洗面化粧台
温水洗浄便座
ショッピングモール徒歩9分
",5.3,6000,NA,"徒歩",4,7,7,0
"創染舎","606-8233","京都府京都市左京区田中北春菜町","叡山電鉄叡山本線","茶山",28,2,"2005年12月","南
",3,"コンビニ徒歩2分
独立洗面化粧台
ショッピングモール徒歩11分
",5.8,6000,NA,"徒歩",2,5.8,3,0
"アークリード洛北","606-8236","京都府京都市左京区田中大久保町","叡山電鉄叡山本線","茶山",21.8,2,"2016年01月","南
",4,"セキュリティ充実
宅配BOX
独立洗面化粧台
",6,6000,NA,"徒歩",3,0,10,0
"ロイヤルコーポタカハラ","606-8241","京都府京都市左京区田中西高原町","叡山電鉄叡山本線","茶山",17.2,4,"1981年02月","北
",5,"光ネット
家賃リーズナブル
落ち着いた環境
",3.2,2000,NA,"徒歩",3,5,0,3.2
"K’s北白川","606-8161","京都府京都市左京区一乗寺木ノ本町","叡山電鉄叡山本線","一乗寺",22.4,1,"1997年02月","南
",5,"コンビニ徒歩2分
室内洗濯機置場
セパレート
",4.8,5000,2000,"徒歩",10,5,5,0
"ミネ北山１","603-8051","京都府京都市北区上賀茂榊田町","京都市営烏丸線","北山",30.7,2,"1969年08月","南
",3,"2口ガスキッチン
室内洗濯機置場
セパレート
",5.8,5000,NA,"徒歩",9,5.8,5.8,5.8
"ヴィラ北白川","606-8242","京都府京都市左京区田中高原町","叡山電鉄叡山本線","茶山",29.1,2,"2015年03月","北
",4,"コンビニ徒歩２分！
室内洗濯機置場や独立洗面台など嬉しい設備♪
料理好きには嬉しいIH2口コンロ付システムキッチン、
",5.1,4000,NA,"徒歩",4,3,10,0
"リサイドS","606-8236","京都府京都市左京区田中大久保町55-1","叡山電鉄叡山本線","元田中",29.8,2,"1990年04月","南
",3,"セパレート
インターネット無料
最寄駅まで徒歩4分
",5.2,6000,NA,"徒歩",4,0,5.2,5.2
