"","title","details","points","price_info","price_info2"
"67","


ヴィラナカタチウリ
ヴィラ中立売","所在地
〒602-8237　京都府京都市上京区梨木町
最寄り駅

京都市営烏丸線「今出川」駅 徒歩19分
京都市営烏丸線「丸太町」駅 自転車8分(約1.9km)
京都地下鉄東西線「二条城前」駅 自転車8分(約1.8km)
間取り／面積

1K／22.2m2
契約年数
2年

更新料
なし
完成年月
1996年03月
向き
北、東
階数・全部屋数

地上6階
建　0部屋

物件種別
アパート
構造
鉄骨造
損害保険
要
各室専用設備
セパレート（バス・トイレ）／室外洗濯機置場／電化キッチン（IH）／エアコン／インターフォン／フローリング／バルコニー
共同設備
オートロック／エレベータ／駐輪場
設備備考
給湯（ガス）
取引様態
媒介
","バス停徒歩4分
全室角部屋
家賃リーズナブル
","賃料

4.2万円～4.5万円
管理費
3,000円
敷金
なし
礼金
なし




















","賃料

4.2万円～4.5万円
管理費
3,000円
敷金
なし
礼金
なし
"
"68","


コーポマチヤナギ
コーポ町柳","所在地
〒606-8205　京都府京都市左京区田中上柳町10
最寄り駅

京阪本線「出町柳」駅 徒歩5分
叡山電鉄叡山本線「出町柳」駅 徒歩3分
叡山電鉄叡山本線「元田中」駅 徒歩11分
間取り／面積

1R／17.8m2
契約年数
2年

更新料
1ヶ月分
完成年月
1983年02月
向き
南
階数・全部屋数

地上3階
建　17部屋

物件種別
アパート
構造
軽量鉄骨
損害保険
要
共同設備
共用ランドリー（無料）／駐輪場
設備備考
コンビニ近い
取引様態
媒介
","南向き
駅近
生活便利
","賃料

3.4万円～3.5万円
管理費
5,300円
敷金
なし
礼金
なし




















","賃料

3.4万円～3.5万円
管理費
5,300円
敷金
なし
礼金
なし
"
"69","


シモガモジョシガクセイカイカンテラッセタダスノモリ
下鴨女子学生会館　テラッセ糺ノ森","所在地
〒606-0804　京都府京都市左京区下鴨松原町42-7
最寄り駅

京都市営バス「糺ノ森」停徒歩1分
叡山電鉄叡山本線「出町柳」駅 徒歩12分
京阪本線「出町柳」駅 徒歩13分
叡山電鉄叡山本線「元田中」駅 徒歩16分
間取り／面積

1R／19.8m2～26.4m2／8.5帖～13帖
契約年数
2年

更新料
1ヶ月分
完成年月
1982年11月
向き
南、東
階数・全部屋数

地上3階
建　10部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
室内洗濯置場／ユニットバス   ／電気コンロ／エアコン／バルコニー
共同設備
駐輪場／インターネット対応
取引様態
媒介
","水道料無料
セパレートあり
バス停徒歩1分
","賃料

4万円～4.9万円
管理費
5,000円
敷金
5万円
礼金
5万円




















","賃料

4万円～4.9万円
管理費
5,000円
敷金
5万円
礼金
5万円
"
"70","


プティメゾンニシジン
プティメゾン西陣","所在地
〒602-8407　京都府京都市上京区伊佐町239
最寄り駅

京都市営烏丸線「今出川」駅 徒歩17分
京都市営烏丸線「鞍馬口」駅 自転車7分(約1.6km)
京都市営烏丸線「北大路」駅 自転車9分(約2.0km)
間取り／面積

1K／15m2
契約年数
2年

更新料
なし
完成年月
1980年08月
向き
北
階数・全部屋数

地上3階
建　18部屋

物件種別
マンション
構造
鉄骨造
損害保険
要
各室専用設備
シャワー／ガスコンロ設置可／エアコン／フローリング
共同設備
防犯カメラ／BSアンテナ／CSアンテナ／インターネット対応（無料）
設備備考
都市ガス
取引様態
媒介
","コインランドリー
礼金・敷金なし
","賃料

2.5万円
管理費
4,000円
敷金
なし
礼金
なし


















","賃料

2.5万円
管理費
4,000円
敷金
なし
礼金
なし
"
"71","


グリーンヒルコヤマ
グリーンヒル小山","所在地
〒603-8148　京都府京都市北区小山西花池町5-8
最寄り駅

京都市営烏丸線「北大路」駅 徒歩7分
京都市営烏丸線「鞍馬口」駅 徒歩6分
京都市営烏丸線「今出川」駅 徒歩16分
間取り／面積

1K／25m2／8.2帖
契約年数
1年

更新料
6.3万円
完成年月
2009年03月
向き
東、南
階数・全部屋数

地上4階
建　27部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
室内洗濯置場／セパレート（バス・トイレ）／洗面（浴室別）／ガスキッチン２口／エアコン／床暖房／バルコニー
共同設備
オートロック／宅配ボックス／駐輪場／BSアンテナ／CSアンテナ
取引様態
媒介
","ゆとりの居室
独立洗面化粧台
宅配BOX
","賃料

6.3万円～6.7万円
管理費
2,500円～3,000円
敷金
なし
礼金
1ヶ月分




















","賃料

6.3万円～6.7万円
管理費
2,500円～3,000円
敷金
なし
礼金
1ヶ月分
"
"72","


ケイアイマンション
KIマンション","所在地
〒603-8149　京都府京都市北区小山南上総町56-2
最寄り駅

京都市営烏丸線「北大路」駅 徒歩6分
京都市営烏丸線「鞍馬口」駅 徒歩6分
京都市営烏丸線「今出川」駅 徒歩16分
間取り／面積

1R／17m2／6帖
契約年数
1年

更新料
なし
完成年月
1984年11月
向き
北
階数・全部屋数

地上4階
建　9部屋

物件種別
マンション
構造
鉄骨造
損害保険
要
各室専用設備
シャワー／ユニットバス   ／室外洗濯機置場／ガスコンロ設置可／エアコン／クローゼット
取引様態
媒介
","駅近便利
ショッピングセンター徒歩圏内
洗濯機置場
","賃料

3.2万円
管理費
4,000円
敷金
5万円
礼金
5万円
設備維持費
2,000円




















","賃料

3.2万円
管理費
4,000円
敷金
5万円
礼金
5万円
設備維持費
2,000円
"
"73","


アッツホリカワ
A.t.s堀川","所在地
〒603-8158　京都府京都市北区紫野宮西町14番地4
最寄り駅

京都市営バス「堀川鞍馬口」停徒歩1分
京都市営烏丸線「鞍馬口」駅 徒歩12分
京都市営烏丸線「北大路」駅 徒歩14分
京都市営烏丸線「今出川」駅 自転車7分(約1.6km)
間取り／面積

1K／21.4m2～24m2／7.2帖
契約年数
2年

更新料
1ヶ月分
完成年月
2001年03月
向き
東
階数・全部屋数

地上7階
建　25部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
室内洗濯置場／独立洗面化粧台／ガスコンロ／エアコン／インターフォン（TVモニター付)／クローゼット／シューズケース／フローリング／バルコニー
共同設備
オートロック／エレベータ／駐輪場(原付まで)／BSアンテナ／CATV／インターネット対応
設備備考
給湯（ガス）／都市ガス
取引様態
媒介
","セキュリティ充実
独立洗面化粧台
生活便利
","賃料

5.3万円～5.4万円
管理費
5,000円～6,000円
敷金
7万円～8万円
礼金
7万円～10万円




















","賃料

5.3万円～5.4万円
管理費
5,000円～6,000円
敷金
7万円～8万円
礼金
7万円～10万円
"
"74","


ダイヤモンドパレスホリカワ
ダイヤモンドパレス堀川","所在地
〒602-8056　京都府京都市上京区三町目13番地
最寄り駅

京都市営烏丸線「丸太町」駅 徒歩15分
京都地下鉄東西線「二条城前」駅 徒歩16分
京都市営烏丸線「今出川」駅 自転車7分(約1.7km)
間取り／面積

1R／21.1m2
契約年数
1年

更新料
3万円
完成年月
1986年01月
向き
西
階数・全部屋数

地上6階
建　0部屋

物件種別
マンション
構造
鉄骨鉄筋コンクリート造
損害保険
要
各室専用設備
シャワー／ユニットバス／ガスコンロ設置可／エアコン／クローゼット／フローリング
共同設備
エレベータ／コインランドリー／駐輪場／バイク置場
取引様態
媒介
","堀川商店街すぐ徒歩圏内
コインランドリー
乾燥機もあり
","賃料

3.35万円～4.35万円
管理費
6,000円
敷金
9万円
入館金
3万円




















","賃料

3.35万円～4.35万円
管理費
6,000円
敷金
9万円
入館金
3万円
"
"75","


テラカワビル
寺川ビル","所在地
〒603-8149　京都府京都市北区小山南上総町56番地
最寄り駅

京都市営烏丸線「北大路」駅 徒歩3分
京都市営烏丸線「鞍馬口」駅 徒歩4分
間取り／面積

1K／15m2／5.5帖
契約年数
1年

更新料
1.1万円
完成年月
2011年07月
向き
東
階数・全部屋数

地上4階
建　6部屋

物件種別
マンション
構造
鉄骨造
損害保険
要
各室専用設備
浴室乾燥機／室外洗濯機置場
共同設備
オートロック
取引様態
媒介
","駅徒歩圏内
生活便利
オシャレな居室
","賃料

4.35万円
管理費
5,000円
敷金
なし
礼金
5万円









2017/10/2










","賃料

4.35万円
管理費
5,000円
敷金
なし
礼金
5万円
"
"76","


ヒューマンハイツ
ヒューマンハイツ","所在地
〒602-8259　京都府京都市上京区常陸町432-23
最寄り駅

京都市営烏丸線「今出川」駅 自転車7分(約1.7km)
京都市営烏丸線「丸太町」駅 自転車8分(約1.8km)
京都地下鉄東西線「二条城前」駅 自転車7分(約1.7km)
間取り／面積

1K／22.8m2／7帖
契約年数
2年

更新料
なし
完成年月
1990年04月
向き
東
階数・全部屋数

地上4階
建　21部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
ユニットバス／セパレート（バス・トイレ）／室外洗濯機置場／ガスコンロ／エアコン／クローゼット／フローリング
共同設備
オートロック／駐輪場(原付まで)／インターネット対応（無料）
取引様態
媒介
","ネット無料
オートロック
セパレート
","賃料

4.5万円
管理費
3,000円
敷金
なし
礼金
1ヶ月分




















","賃料

4.5万円
管理費
3,000円
敷金
なし
礼金
1ヶ月分
"
"77","


フラッティチエコウイン
フラッティ智恵光院","所在地
〒602-8446　京都府京都市上京区五辻町
最寄り駅

京都市営バス「今出川浄福寺」停徒歩3分
京都市営烏丸線「今出川」駅 徒歩18分
京福電気鉄道北野線「北野白梅町」駅 自転車7分(約1.7km)
間取り／面積

1K／22.6m2～22.7m2／8帖
契約年数
2年

更新料
1ヶ月分
完成年月
2017年02月
向き
南
階数・全部屋数

地上4階
建　23部屋

物件種別
マンション
構造
鉄骨造
損害保険
要
各室専用設備
シャワー／室内洗濯置場／独立洗面化粧台／セパレート（バス・トイレ）／浴室乾燥機／システムキッチン／ガスキッチン２口／エアコン／インターフォン（TVモニター付)／ディンプルキー／フローリング／バルコニー／居室仕切ドア
共同設備
オートロック／宅配ボックス／駐輪場（大型バイク可）／BSアンテナ／光ケーブル
取引様態
媒介
","大型バイク駐車可！！
浴室乾燥機付き
インターネット無料
","賃料

6.1万円～6.3万円
管理費
6,000円
敷金
なし
礼金
2ヶ月分


















","賃料

6.1万円～6.3万円
管理費
6,000円
敷金
なし
礼金
2ヶ月分
"
"78","


リュックスチエコウイン
Luxe智恵光院","所在地
〒602-8408　京都府京都市上京区古美濃部町178-2
最寄り駅

京都市営烏丸線「今出川」駅 徒歩19分
京都市営烏丸線「鞍馬口」駅 自転車7分(約1.6km)
京都市営烏丸線「北大路」駅 自転車9分(約2.0km)
間取り／面積

1K／21.3m2／6.1帖
契約年数
2年

更新料
1ヶ月分
完成年月
2007年05月
向き
西
階数・全部屋数

地上5階
建　14部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
シャワー／室内洗濯置場／独立洗面化粧台／セパレート（バス・トイレ）／温水洗浄便座／浴室乾燥機／ガスキッチン２口／エアコン／インターフォン／クローゼット／シューズケース／フローリング／バルコニー／居室仕切ドア
共同設備
オートロック／エレベータ／駐輪場(原付まで)／BSアンテナ／インターネット対応（無料）
設備備考
コンビニ近い／給湯（ガス）
取引様態
媒介
","ネット無料
温水洗浄便座
コンビニ徒歩3分
","賃料

5.5万円
管理費
6,000円
敷金
5万円
礼金
5万円




















","賃料

5.5万円
管理費
6,000円
敷金
5万円
礼金
5万円
"
"79","


ワイズフラッツニシジン
Y's　Ｆlats 西陣","所在地
〒602-8444　京都府京都市上京区西北小路町235
最寄り駅

京都市営烏丸線「今出川」駅 徒歩17分
京都市営烏丸線「鞍馬口」駅 自転車9分(約2.2km)
京福電気鉄道北野線「北野白梅町」駅 徒歩19分
間取り／面積

1K／29.4m2
契約年数
2年

更新料
1ヶ月分
完成年月
2008年03月
向き
南
階数・全部屋数

地上10階
建　45部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
室内洗濯置場／独立洗面化粧台／セパレート（バス・トイレ）／電化キッチン２口（IH+RH）／エアコン／インターフォン（TVモニター付)／フローリング／居室照明器具
共同設備
オートロック／エレベータ／宅配ボックス／防犯カメラ／駐輪場／駐輪場(原付まで)／BSアンテナ／CSアンテナ／インターネット対応（無料）
設備備考
コンビニ近い／給湯（電気）
取引様態
媒介
","原付き：500円／月・中・大型バイク：3千円／月
台所・洗面所・ユニットバスはＬＥＤ照明備付き
南向き
","賃料

6.2万円～6.5万円
共益費
6,000円
敷金
1ヶ月分
礼金
1.5ヶ月分




















","賃料

6.2万円～6.5万円
共益費
6,000円
敷金
1ヶ月分
礼金
1.5ヶ月分
"
"80","


グランコスモデマチヤナギ
グランコスモ出町柳","所在地
〒606-8203　京都府京都市左京区田中関田町
最寄り駅

京阪本線「出町柳」駅 徒歩3分
間取り／面積

1K／25m2～26m2／8帖～9.3帖
契約年数
1年

更新料
1ヶ月分
完成年月
2003年03月
向き
南、北
階数・全部屋数

地上6階
建　27部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
シャワー／室内洗濯置場／セパレート（バス・トイレ）／システムキッチン／専用台所／ガスコンロ／エアコン／床暖房／インターフォン／クローゼット／シューズケース／バルコニー／居室仕切ドア
共同設備
オートロック／エレベータ／宅配ボックス／駐輪場／BSアンテナ／CSアンテナ
設備備考
コンビニ近い／給湯（ガス）／電気／都市ガス／水道（公営）／排水（公共下水）／専用トイレ（水洗）
取引様態
媒介
","コンビニ徒歩3分
交通便利
設備充実
","賃料

6.5万円～7.45万円
共益費
2,500円
敷金
8万円
礼金
13万円～16万円




















","賃料

6.5万円～7.45万円
共益費
2,500円
敷金
8万円
礼金
13万円～16万円
"
"81","


プチシャトー１９
プチシャトー１９","所在地
〒602-0091　京都府京都市上京区筋違橋町５６４－１
最寄り駅

京都市営烏丸線「鞍馬口」駅 徒歩15分
間取り／面積

2K／26.6m2／9帖
契約年数
2年

更新料
1ヶ月分
完成年月
1989年10月
向き
西
階数・全部屋数

地上4階
建　0部屋

物件種別
マンション
構造
鉄筋コンクリート造
損害保険
要
各室専用設備
室内洗濯置場／セパレート（バス・トイレ）／ガスコンロ設置可／ガスキッチン２口／エアコン／クローゼット／シューズケース／バルコニー
共同設備
オートロック／駐輪場(原付まで)／インターネット対応（無料）
設備備考
コンビニ近い／給湯（ガス）／電気／都市ガス／水道（公営）
取引様態
媒介
","コンビニ徒歩1分
スーパー徒歩6分
2口コンロ持込可
","賃料

5.2万円
管理費
5,000円
敷金
7万円
礼金
1ヶ月分




















","賃料

5.2万円
管理費
5,000円
敷金
7万円
礼金
1ヶ月分
"
